,means,std.devs,0.025 quant,0.975 quant
(Intercept),11.892852198850903,0.00034082213160830266,11.892184199747817,11.89352019795399
Month,0.3241063757360314,0.00019091495861576734,0.32373218929303454,0.32448056217902826
Track Age,-0.08790490536417918,0.000851788695598735,-0.08957438052999105,-0.08623543019836731
CountryBrazil,1.1897428499094471,0.000833491062193728,1.1881092374461113,1.191376462372783
CountryCanada,0.7434976291970066,0.0009042274218779644,0.7417253760162923,0.7452698823777208
CountryFrance,0.36675512989625686,0.0009273789408091918,0.36493750057224994,0.3685727592202638
CountryGermany,0.9278576002907368,0.0008827739919860046,0.9261273950599556,0.9295878055215181
CountryItaly,0.007207606953309933,0.0009566981437978414,0.005332513047389842,0.009082700859230023
CountryJapan,0.4960998075870447,0.0011328239783557042,0.4938795133886441,0.4983201017854453
CountryMexico,1.3062181910190942,0.0007771076035331505,1.304695088104057,1.3077412939341313
CountrySpain,0.10134965014641653,0.0009035189358227117,0.09957878557285406,0.103120514719979
CountryTurkey,-0.09417143417345379,0.0010253914938500035,-0.09618116457145352,-0.09216170377545406
CountryUnited Kingdom,1.059586307774997,0.0008703683565541187,1.0578804171428675,1.0612921984071264
CountryUnited States,3.2114828634659736,0.0008895333184143896,3.209739410198833,3.213226316733114
Track Age*Month,0.05521693903365924,0.0006016629412595254,0.054037701337958134,0.05639617672936035
Track Age*CountryBrazil,-0.004434150449494815,0.0009991148293386524,-0.006392379531418456,-0.002475921367571174
Track Age*CountryCanada,0.032233797664400564,0.0008800620117668523,0.03050890781717567,0.03395868751162546
Track Age*CountryFrance,0.02368797803199138,0.000942812444645144,0.021840099596310735,0.025535856467672025
Track Age*CountryGermany,-0.010745484834028218,0.0009397345548745225,-0.012587330716610062,-0.008903638951446375
Track Age*CountryItaly,0.019824025559748826,0.0009211495998476926,0.018018605519673866,0.021629445599823785
Track Age*CountryJapan,-0.07000153210972498,0.001194333296929288,-0.07234238235724337,-0.0676606818622066
Track Age*CountryMexico,0.055868130878592735,0.0009664343757264198,0.053973954308747504,0.057762307448437966
Track Age*CountrySpain,0.006220425167584422,0.0008923853551498119,0.004471382011159805,0.007969468324009039
Track Age*CountryTurkey,-0.021657051620446843,0.0011569265553827781,-0.023924586001755073,-0.019389517239138614
Track Age*CountryUnited Kingdom,0.06463597374768079,0.000879934868329923,0.06291133309701315,0.06636061439834844
Track Age*CountryUnited States,0.027736967676968788,0.0008962790573138411,0.025980293004536147,0.02949364234940143
Track Age*Month*CountryBrazil,0.006314301749760293,0.0008582545358494463,0.004632153769927237,0.007996449729593349
Track Age*Month*CountryCanada,-0.06446956912013743,0.0007681744976843429,-0.06597516346944089,-0.06296397477083397
Track Age*Month*CountryFrance,-0.006613536174879744,0.0007997381383819552,-0.008180994123171487,-0.005046078226588002
Track Age*Month*CountryGermany,-0.03012171301504433,0.0008351893306616681,-0.03175865402341332,-0.028484772006675346
Track Age*Month*CountryItaly,0.0008459520903466969,0.0007741649461609316,-0.0006713833222221195,0.002363287502915513
Track Age*Month*CountryJapan,-0.02096664255214129,0.0009306091995432586,-0.022790603066927727,-0.019142682037354856
Track Age*Month*CountryMexico,0.0464744598027878,0.0008139661088868719,0.04487911554473332,0.048069804060842276
Track Age*Month*CountrySpain,-0.019222625834421005,0.0007926230301735391,-0.020776138426878147,-0.017669113241963862
Track Age*Month*CountryTurkey,-0.010278649585280505,0.0009727442474338979,-0.012185193276419464,-0.008372105894141547
Track Age*Month*CountryUnited Kingdom,-0.04578999588223942,0.0007589326910817065,-0.04727747662344963,-0.04430251514102921
Track Age*Month*CountryUnited States,-0.091004793889642,0.0007702211526872336,-0.0925143996090399,-0.0894951881702441
